	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	CIDADE_ELABORACAO	SEC_ELABORACAO	DEP_ELABORACAO	NUM_BO	ANO_BO	DATA_FATO	dia	mês	ano	MÊS OCOR	ANO OCOR	DP_ELABORACAO	COORPORAÇÃO	SITUAÇÃO	ID_DELEGACIA	MUNICIPIO_CIRC	"DEPARTAMENTO_
CIRC"	SECCIONAL_CIRC	CIRCUNSCRIÇÃO	DESCR_TIPO_PESSOA	SEXO_PESSOA	IDADE_PESSOA	COR	DATA_NASCIMENTO_PESSOA	DESCR_PROFISSAO	HORA_FATO	DESCR_TIPOLOCAL	LOGRADOURO	NUMERO_LOGRADOURO	LATITUDE	LONGITUDE	NATUREZAS	CONDUTA	DESDOBRAMENTO	FLAG_VITIMA_FATAL	DATAHORA_REGISTRO_BO	HORA_FATO_HOUR_ONLY	COR_FOMATADO	SEXO_FOMATADO
10	10	10	S.PAULO	DHPP - DEP. HOM. PROTECAO PESSOA	DHPP	20	2013	06/01/2013	6	1	2013	1	2013	DHPP DIV. HOMICIDIOS	PM	serviço	200100	ITAQUAQUECETUBA	DEMACRO	DEL.SEC.MOGI DAS CRUZES	DEL.POL.ITAQUAQUECETUBA	Vítima	Masculino	28	Branca	05/03/1984	MECANICO(A)	17:58:00	Area não ocupada	EST DO CORTA RABICHO	0	-23.45279102296989	-46.3291216010475	Roubo (art. 157)	VEICULO		Sim	06/01/2013	17	Branca	Masculino
11	11	11	S.PAULO	DHPP - DEP. HOM. PROTECAO PESSOA	DHPP	21	2013	07/01/2013	7	1	2013	1	2013	DHPP DIV. HOMICIDIOS	PM	serviço	200100	S.PAULO	DECAP	DEL.SEC.2º SUL	27º D.P. IBIRAPUERA	Autor/Vitima	Masculino	20	Parda	02/07/1992	ENTREGADOR(A)	22:45:00	Via pública	R PRINCESA ISABEL	730	-23.60355883087021	-46.507095183625964	Resistência (art. 329)			Sim	07/01/2013	22	Parda	Masculino
12	12	12	S.PAULO	DHPP - DEP. HOM. PROTECAO PESSOA	DHPP	21	2013	06/01/2013	6	1	2013	1	2013	DHPP DIV. HOMICIDIOS	PM	serviço	200100	S.PAULO	DECAP	DEL.SEC.2º SUL	27º D.P. IBIRAPUERA	Autor/Vitima	Masculino	17	Parda	27/12/1995	ESTUDANTE	22:45:00	Via pública	R PRINCESA ISABEL	730	-23.6194548088362	-46.680162940917995	Roubo (art. 157)	VEICULO		Sim	07/01/2013	22	Parda	Masculino
13	13	13	S.VICENTE	DEL.SEC.SANTOS	DEINTER 6 - SANTOS	29	2013	04/01/2013	4	1	2013	1	2013	02º D.P. SÃO VICENTE	PM	folga	40285	S.VICENTE	DEINTER 6 - SANTOS	DEL.SEC.SANTOS	02º D.P. SÃO VICENTE	Vítima	Masculino	18	Branca	22/04/1994	DESEMPREGADO	15:04:00	Via pública	R FREI GASPAR X AV MANOEL DE ABREU	0	-23.950951957204506	-46.4088668456319	Resistência (art. 329)			Sim	04/01/2013	15	Branca	Masculino
14	14	14	S.PAULO	DHPP - DEP. HOM. PROTECAO PESSOA	DHPP	30	2013	10/01/2013	10	1	2013	1	2013	DHPP DIV. HOMICIDIOS	PM	serviço	200100	ITAPEVI	DEMACRO	DEL.SEC.CARAPICUIBA	DEL.POL.ITAPEVI	Vítima	Masculino	20	Outros	28/11/1992	AJUDANTE GERAL	14:35:00	Via pública	RODOVIA PRES CASTELO BRANCO	99999	-23.5169099569455	-46.9293260587905	Localização/Apreensão e Entrega de veículo			Sim	10/01/2013	14	NÃO INFORMADO	Masculino
15	15	15	S.PAULO	DHPP - DEP. HOM. PROTECAO PESSOA	DHPP	31	2013	10/01/2013	10	1	2013	1	2013	DHPP DIV. HOMICIDIOS	PC	folga	200100	S.PAULO	DECAP	DEL.SEC.3º OESTE	14º D.P. PINHEIROS	Autor/Vitima	Masculino	34	Branca	29/11/1978	VIGILANTE	20:45:00	Comércio e serviços	R PAULISTANIA	450	-23.547610821401328	-46.69109944634908	Roubo (art. 157)	OUTROS		Sim		20	Branca	Masculino
16	16	16	S.PAULO	DHPP - DEP. HOM. PROTECAO PESSOA	DHPP	33	2013	10/01/2013	10	1	2013	1	2013	DHPP DIV. HOMICIDIOS	PM	folga	200100	S.PAULO	DECAP	DEL.SEC.6º SANTO AMARO	99º D.P. CAMPO GRANDE	Vítima	Masculino	20	Outros	08/04/1992	NÃO INFORMADO	22:00:00	Comércio e serviços	R SARG GERALDO SANTANA	1490	-23.6651764964674	-46.6782976736332	Localização/Apreensão e Entrega de veículo			Sim	11/01/2013	22	NÃO INFORMADO	Masculino
17	17	17	S.PAULO	DHPP - DEP. HOM. PROTECAO PESSOA	DHPP	34	2013	11/01/2013	11	1	2013	1	2013	DHPP DIV. HOMICIDIOS	PC	folga	200100	S.PAULO	DECAP	DEL.SEC.2º SUL	95º D.P. HELIÓPOLIS	Adolescente infrator	Masculino	17	Parda	23/01/1995	NÃO INFORMADO	17:30:00	Via pública	R CEL FRANCISCO INACIO	NÃO INFORMADO	-23.60774882670876	-46.60073836519391	Homicídio simples (art. 121)			Sim		17	Parda	Masculino
18	18	18	S.PAULO	DHPP - DEP. HOM. PROTECAO PESSOA	DHPP	35	2013	11/01/2013	11	1	2013	1	2013	DHPP DIV. HOMICIDIOS	PM	folga	200100	DIADEMA	DEMACRO	DEL.SEC.DIADEMA	03º D.P. DIADEMA	Autor/Vitima	Masculino	20	Parda	21/11/1992	AJUDANTE	23:30:00	Via pública	R TREZE DE MAIO	261	-23.676596746822906	-46.602446312542895	Roubo (art. 157)	VEICULO		Sim	12/01/2013	23	Parda	Masculino
19	19	19	S.PAULO	DHPP - DEP. HOM. PROTECAO PESSOA	DHPP	42	2013	13/01/2013	13	1	2013	1	2013	DHPP DIV. HOMICIDIOS	PM	folga	200100	S.PAULO	DECAP	DEL.SEC.5º LESTE	42º D.P. PARQUE S. LUCAS	Autor/Vitima	Masculino	20	Branca	06/07/1992	NÃO INFORMADO	16:00:00	Via pública	R FRANCISCO RABELO	700	-23.605029012322106	-46.562848314936296	Roubo (art. 157)	VEICULO		Sim	13/01/2013	16	Branca	Masculino
20	20	20	S.PAULO	DHPP - DEP. HOM. PROTECAO PESSOA	DHPP	47	2013	14/01/2013	14	1	2013	1	2013	DHPP DIV. HOMICIDIOS	PM	folga	200100	S.PAULO	DECAP	DEL.SEC.3º OESTE	33º D.P. PIRITUBA	Autor/Vitima	Masculino	23	Parda	21/09/1989	NÃO INFORMADO	22:15:00	Via pública	AV MUTINGA	3015	-23.4910827892259	-46.750778628360386	Roubo (art. 157)	VEICULO		Sim	15/01/2013	22	Parda	Masculino
21	21	21	GUARUJA	DEL.SEC.SANTOS	DEINTER 6 - SANTOS	52	2013	11/01/2013	11	1	2013	1	2013	01º D.P. GUARUJA	PM	serviço	40219	GUARUJA	DEINTER 6 - SANTOS	DEL.SEC.SANTOS	01º D.P. GUARUJA	Vítima	Masculino	20	Branca	17/01/1992	NÃO INFORMADO	14:00:00	Via pública	RUA SÃO PEDRO	0	-23.97272841635705	-46.24758979685665	Resistência (art. 329)			Sim	11/01/2013	14	Branca	Masculino
22	22	22	S.PAULO	DHPP - DEP. HOM. PROTECAO PESSOA	DHPP	55	2013	19/01/2013	19	1	2013	1	2013	DHPP DIV. HOMICIDIOS	PM	serviço	200100	S.PAULO	DECAP	DEL.SEC.8º SAO MATEUS	53º D.P. PARQUE DO CARMO	Autor/Vitima	Masculino	NÃO INFORMADO	Parda	NÃO INFORMADO	NÃO INFORMADO	01:53:00	Via pública	R JAIME RIBEIRO WRIGHT	0	-23.573301225030107	-46.4458544797245	Roubo (art. 157)	TRANSEUNTE		Sim	19/01/2013	01	Parda	Masculino
23	23	23	S.PAULO	DHPP - DEP. HOM. PROTECAO PESSOA	DHPP	60	2013	21/01/2013	21	1	2013	1	2013	DHPP DIV. HOMICIDIOS	PM	folga	200100	S.PAULO	DECAP	DEL.SEC.8º SAO MATEUS	53º D.P. PARQUE DO CARMO	Autor/Vitima	Masculino	14	Branca	04/03/1998	NÃO INFORMADO	04:11:00	Via pública	AV NOVA TRABALHADORES	1800	-23.506543994422803	-46.4568482374496	Caput Corromper ou facilitar a corrupção de menor de 18 anos (244B)			Sim	21/01/2013	04	Branca	Masculino
24	24	24	S.PAULO	DHPP - DEP. HOM. PROTECAO PESSOA	DHPP	65	2013	22/01/2013	22	1	2013	1	2013	DHPP DIV. HOMICIDIOS	PM	serviço	200100	S.PAULO	DECAP	DEL.SEC.6º SANTO AMARO	98º D.P. JARDIM MIRIAM	Autor	Masculino	18	Parda	12/12/1994	NÃO INFORMADO	19:50:00	Via pública	R DOS MARATIS	22	-23.7013575195561	-46.631959959649706	Receptação (art. 180)	VEICULO		Sim	22/01/2013	19	Parda	Masculino
25	25	25	S.VICENTE	DEL.SEC.SANTOS	DEINTER 6 - SANTOS	66	2013	05/01/2013	5	1	2013	1	2013	DEL.POL.S.VICENTE	PM	serviço	40217	S.VICENTE	DEINTER 6 - SANTOS	DEL.SEC.SANTOS	02º D.P. SÃO VICENTE	Indiciado	Masculino	19	Branca	29/05/1993	NÃO INFORMADO	04:00:00	Residência	DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS 		-23.967069999999985	-46.38365999999996	Resistência (art. 329)			Sim	05/01/2013	04	Branca	Masculino
26	26	26	S.PAULO	DHPP - DEP. HOM. PROTECAO PESSOA	DHPP	66	2013	23/01/2013	23	1	2013	1	2013	DHPP DIV. HOMICIDIOS	PM	serviço	200100	ITAPEVI	DEMACRO	DEL.SEC.CARAPICUIBA	DEL.POL.ITAPEVI	Autor/Vitima	Masculino	NÃO INFORMADO	Preta	NÃO INFORMADO	NÃO INFORMADO	02:00:00	Via pública	TRAVESSA ROMA	600	-23.672041277128105	-46.7718632575392	Posse ou porte ilegal de arma de fogo de uso restrito (Art. 16)		Nas mesmas penas incorrem quem (Par. único)	Sim		02	Preta	Masculino
27	27	27	COSMOPOLIS	DEL.SEC.AMERICANA	DEINTER 9 - PIRACICABA	67	2013	06/01/2013	6	1	2013	1	2013	DEL.POL.COSMÓPOLIS	PM	serviço	70311	COSMOPOLIS	DEINTER 9 - PIRACICABA	DEL.SEC.AMERICANA	OUTRAS DELEGACIAS	Vítima	Masculino	27	Branca	02/04/1985	MOTO-BOY	03:30:00	Via pública	RUA MONTE CASTELO	930	-22.63060994801605	-47.18035989309678	Desobediência (art. 330)			Sim	06/01/2013	03	Branca	Masculino
28	28	28	GUARUJA	DEL.SEC.SANTOS	DEINTER 6 - SANTOS	69	2013	10/01/2013	10	1	2013	1	2013	02º D.P. GUARUJA	PM	serviço	40233	GUARUJA	DEINTER 6 - SANTOS	DEL.SEC.SANTOS	02º D.P. GUARUJA	Autor/Vitima	Masculino	23	Parda	31/12/1989	AJUDANTE	18:00:00	Residência	DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS 		-23.994139999999962	-46.25741999999998	Homicídio simples (art. 121)			Sim	10/01/2013	18	Parda	Masculino
29	29	29	GUARUJA	DEL.SEC.SANTOS	DEINTER 6 - SANTOS	69	2013	10/01/2013	10	1	2013	1	2013	02º D.P. GUARUJA	PM	serviço	40233	GUARUJA	DEINTER 6 - SANTOS	DEL.SEC.SANTOS	02º D.P. GUARUJA	Autor/Vitima	Masculino	22	Branca	08/06/1990	AUXILIAR GERAL	18:00:00	Residência	DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS 		-23.994139999999962	-46.25741999999998	Homicídio simples (art. 121)			Sim	10/01/2013	18	Branca	Masculino
30	30	30	GUARUJA	DEL.SEC.SANTOS	DEINTER 6 - SANTOS	69	2013	10/01/2013	10	1	2013	1	2013	02º D.P. GUARUJA	PM	serviço	40233	GUARUJA	DEINTER 6 - SANTOS	DEL.SEC.SANTOS	02º D.P. GUARUJA	Autor/Vitima	Masculino	27	Branca	26/01/1985	NÃO INFORMADO	18:00:00	Residência	DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS 		-23.994139999999962	-46.25741999999998	Homicídio simples (art. 121)			Sim	10/01/2013	18	Branca	Masculino
31	31	31	GUARUJA	DEL.SEC.SANTOS	DEINTER 6 - SANTOS	69	2013	10/01/2013	10	1	2013	1	2013	02º D.P. GUARUJA	PM	serviço	40233	GUARUJA	DEINTER 6 - SANTOS	DEL.SEC.SANTOS	02º D.P. GUARUJA	Autor/Vitima	Masculino	24	Outros	24/01/1988	NÃO INFORMADO	18:00:00	Residência	DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS 		-23.994139999999962	-46.25741999999998	Homicídio simples (art. 121)			Sim	10/01/2013	18	NÃO INFORMADO	Masculino
32	32	32	S.PAULO	DHPP - DEP. HOM. PROTECAO PESSOA	DHPP	69	2013	24/01/2013	24	1	2013	1	2013	DHPP DIV. HOMICIDIOS	PM	folga	200100	S.PAULO	DECAP	DEL.SEC.2º SUL	27º D.P. IBIRAPUERA	Vítima	Masculino	NÃO INFORMADO	Branca	NÃO INFORMADO	NÃO INFORMADO	04:15:00	Comércio e serviços	AV DOS BANDEIRANTES	5599	-23.626291401985693	-46.648953867848604	Roubo (art. 157)	ESTABELECIMENTO COMERCIAL		Sim	24/01/2013	04	Branca	Masculino
33	33	33	S.PAULO	DHPP - DEP. HOM. PROTECAO PESSOA	DHPP	74	2013	24/01/2013	24	1	2013	1	2013	DHPP DIV. HOMICIDIOS	PC	folga	200100	OSASCO	DEMACRO	DEL.SEC.OSASCO	06º D.P. OSASCO	Autor/Vitima	Masculino	39	Branca	23/05/1973	MARCENEIRO(A)	23:00:00	Via pública	R ANTONIA BIZARRO	169	-23.54037057684565	-46.78023030239479	Homicídio simples (art. 121)			Sim		23	Branca	Masculino
34	34	34	S.PAULO	DHPP - DEP. HOM. PROTECAO PESSOA	DHPP	77	2013	26/01/2013	26	1	2013	1	2013	DHPP DIV. HOMICIDIOS	PM	folga	200100	ITAPECERICA DA SERRA	DEMACRO	DEL.SEC.TABOÃO DA SERRA	DEL.POL.ITAPECERICA DA SERRA	Adolescente infrator	Masculino	16	Branca	02/06/1996	NÃO INFORMADO	23:18:00	Via pública	AV SOLD PM GILBERTO AUGUSTINHO	0	-23.69283564773509	-46.802070631275605	Resistência (art. 329)			Sim	27/01/2013	23	Branca	Masculino
35	35	35	S.PAULO	DHPP - DEP. HOM. PROTECAO PESSOA	DHPP	82	2013	28/01/2013	28	1	2013	1	2013	DHPP DIV. HOMICIDIOS	PM	serviço	200100	S.PAULO	DECAP	DEL.SEC.8º SAO MATEUS	49º D.P. SAO MATEUS	Autor/Vitima	Masculino	28	Branca	26/04/1984	MECANICO(A)	17:15:00	Via pública	AV RAGUEB CHOHFI	3797	-23.594742722762106	-46.4492038587195	Roubo (art. 157)	VEICULO		Sim	28/01/2013	17	Branca	Masculino
36	36	36	S.PAULO	DHPP - DEP. HOM. PROTECAO PESSOA	DHPP	83	2013	28/01/2013	28	1	2013	1	2013	DHPP DIV. HOMICIDIOS	PM	folga	200100	S.PAULO	DECAP	DEL.SEC.7º ITAQUERA	68º D.P. LAGEADO	Autor/Vitima	Masculino	27	Branca	05/02/1985	DESEMPREGADO	22:00:00	Via pública	R CARLO MANNELLI	708	-23.5232805342415	-46.4237104481269	Resistência (art. 329)			Sim	29/01/2013	22	Branca	Masculino
37	37	37	S.PAULO	DHPP - DEP. HOM. PROTECAO PESSOA	DHPP	85	2013	29/01/2013	29	1	2013	1	2013	DHPP DIV. HOMICIDIOS	PM	folga	200100	S.PAULO	DECAP	DEL.SEC.7º ITAQUERA	50º D.P. ITAIM PAULISTA	Autor/Vitima	Masculino	25	Parda	04/11/1987	AJUDANTE	10:40:00	Via pública	R MANUEL VIEIRA DANTAS	53	-23.507212816518802	-46.383644001697704	Roubo (art. 157)	VEICULO		Sim	29/01/2013	10	Parda	Masculino
38	38	38	S.PAULO	DHPP - DEP. HOM. PROTECAO PESSOA	DHPP	88	2013	29/01/2013	29	1	2013	1	2013	DHPP DIV. HOMICIDIOS	PM	serviço	200100	S.PAULO	DECAP	DEL.SEC.4º NORTE	09º D.P. - CARANDIRU	Autor/Vitima	Masculino	NÃO INFORMADO	Branca	NÃO INFORMADO	NÃO INFORMADO	19:24:00	Comércio e serviços	R CONSELHEIRO SARAIVA	912	-23.499429091932	-46.61803487191461	Homicídio simples (art. 121)			Sim	29/01/2013	19	Branca	Masculino
39	39	39	S.PAULO	DHPP - DEP. HOM. PROTECAO PESSOA	DHPP	92	2013	30/01/2013	30	1	2013	1	2013	DHPP DIV. HOMICIDIOS	PM	serviço	200100	S.PAULO	DECAP	DEL.SEC.3º OESTE	89º D.P. JARDIM TABOAO	Autor/Vitima	Masculino	17	Preta	04/07/1995	NÃO INFORMADO	19:00:00	Via pública	R AURELIANO GUIMARAES	1	-23.627101569821	-46.736447279402114	Homicídio simples (art. 121)			Sim	30/01/2013	19	Preta	Masculino
40	40	40	S.PAULO	DHPP - DEP. HOM. PROTECAO PESSOA	DHPP	97	2013	31/01/2013	31	1	2013	1	2013	DHPP DIV. HOMICIDIOS	PM	serviço	200100	GUARULHOS	DEMACRO	DEL.SEC.GUARULHOS	04º D.P. GUARULHOS	Autor/Vitima	Masculino	NÃO INFORMADO	Branca	NÃO INFORMADO	NÃO INFORMADO	23:30:00	Area não ocupada	R MAGALHAES BARATA	107	-23.448956172660004	-46.431555852614295	Roubo (art. 157)	VEICULO		Sim	01/02/2013	23	Branca	Masculino
41	41	41	SANTOS	DEL.SEC.SANTOS	DEINTER 6 - SANTOS	125	2013	21/01/2013	21	1	2013	1	2013	DEL.SEC.SANTOS	PM	serviço	40200	SANTOS	DEINTER 6 - SANTOS	DEL.SEC.SANTOS	05º D.P. SANTOS	Vítima	Masculino	18	Parda	20/08/1994	ESTUDANTE	23:05:00	Via pública	LAGOA DA SAUDADE	0	-23.9463008250137	-46.357735295665705	Drogas sem autorização ou em desacordo (Art.33, caput)			Sim	22/01/2013	23	Parda	Masculino
42	42	42	CAPIVARI	DEL.SEC.PIRACICABA	DEINTER 9 - PIRACICABA	159	2013	18/01/2013	18	1	2013	1	2013	DEL.POL.CAPIVARI	PM	serviço	70504	CAPIVARI	DEINTER 9 - PIRACICABA	DEL.SEC.PIRACICABA	OUTRAS DELEGACIAS	Autor/Vitima	Masculino	23	Parda	13/07/1989	SERVENTE	20:30:00	Residência	DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS 		-22.994839999999954	-47.50980999999996	Dano qualificado (art.163, par.único, III)			Sim	19/01/2013	20	Parda	Masculino
43	43	43	S.PAULO	DEL.SEC.8º SAO MATEUS	DECAP	311	2013	30/01/2013	30	1	2013	1	2013	CENTRAL DE FLAGRANTES 8ª SEC	PM	serviço	500084	S.PAULO	DECAP	DEL.SEC.8º SAO MATEUS	66º D.P. JDIM ARICANDUVA	Indiciado	Masculino	27	Branca	24/10/1985	MOTO-BOY	11:30:00	Via pública	AV ITAQUERA	1001	-23.54350793590866	-46.46023343273163	Homicídio qualificado (art. 121, §2o.)			Sim	30/01/2013	11	Branca	Masculino
44	44	44	RIBEIRAO PRETO	DEL.SEC.RIBEIRAO PRETO	DEINTER 3 - RIBEIRAO PRETO	315	2013	11/01/2013	11	1	2013	1	2013	DEL.SEC.RIB.PRETO 02-PLANTAO	PM	folga	100904	RIBEIRAO PRETO	DEINTER 3 - RIBEIRAO PRETO	DEL.SEC.RIBEIRAO PRETO	05º D.P. RIBEIRAO PRETO	Vítima	Masculino	16	Parda	10/12/1996	NÃO INFORMADO	20:55:00	ESTABELECIMENTO COMERCIAL	R DRA IDELMA DE CARVALHO	21	-21.130596216361326	-47.833505908488405	Roubo (art. 157)	ESTABELECIMENTO COMERCIAL		Sim		20	Parda	Masculino
45	45	45	ITATIBA	DEL.SEC.JUNDIAI	DEINTER 2 - CAMPINAS	373	2013	28/01/2013	28	1	2013	1	2013	DEL.POL.ITATIBA	PM	serviço	70403	ITATIBA	DEINTER 2 - CAMPINAS	DEL.SEC.JUNDIAI	OUTRAS DELEGACIAS	Indiciado	Masculino	21	Parda	02/05/1991	AUXILIAR DE SERVIÇOS GERAIS	17:30:00	Via pública	ET. MUNICIPAL LEOPOLDINO BORTOLOSSI S/Nº	0	-23.00682999999998	-46.83875999999998	Porte ilegal de arma de fogo de uso permitido (Art. 14)			Sim	29/01/2013	17	Parda	Masculino
46	46	46	PIRACICABA	DEL.SEC.PIRACICABA	DEINTER 9 - PIRACICABA	776	2013	30/01/2013	30	1	2013	1	2013	DEL.SEC.PIRACICABA PLANTÃO	PM	serviço	70922	PIRACICABA	DEINTER 9 - PIRACICABA	DEL.SEC.PIRACICABA	01º D.P. PIRACICABA	Vítima	Masculino	33	Branca	09/04/1979	ESTUDANTE	01:40:00	Via pública	AV. DR. PAULO DE MORAES	1525	-22.733246582096893	-47.65937915253857	Desobediência (art. 330)			Sim	30/01/2013	01	Branca	Masculino
47	47	47	CAMPINAS	DEL.SEC.1º CAMPINAS	DEINTER 2 - CAMPINAS	1617	2013	31/01/2013	31	1	2013	1	2013	01º D.P. CAMPINAS	PM	folga	70301	CAMPINAS	DEINTER 2 - CAMPINAS	DEL.SEC.2º CAMPINAS	06º D.P. CAMPINAS	Vítima	Masculino	NÃO INFORMADO	Preta	NÃO INFORMADO	NÃO INFORMADO	21:50:00	Via pública	R HUMBERTO ELIAS ASSAF	622	-22.9685025105122	-47.1153119690557	Lesão corporal (art. 129)		Lesão corporal decorrente de intervenção policial (RES. SSP 05 - 07/01/2013)	Sim	01/02/2013	21	Preta	Masculino
